CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
robbery,2015,January,20,Tuesday,17,Apartment,71,Cabbagetown-South St.James Town (71),-79.3691276057671,43.66524837315,2015-01-20 17:00:00
robbery,2015,January,20,Tuesday,15,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.5956655720554,43.7524575029898,2015-01-20 15:00:00
robbery,2015,January,20,Tuesday,15,Outside,81,Trinity-Bellwoods (81),-79.4231423324596,43.6453566977345,2015-01-20 15:00:00
robbery,2015,January,20,Tuesday,14,Outside,117,L'Amoreaux (117),-79.3248093896108,43.7801041239414,2015-01-20 14:00:00
robbery,2015,January,2,Friday,12,House,26,Downsview-Roding-CFB (26),-79.4937640212281,43.7330295262085,2015-01-02 12:00:00
robbery,2015,January,20,Tuesday,7,Commercial,30,Brookhaven-Amesbury (30),-79.5028901940968,43.6995471135708,2015-01-20 07:00:00
robbery,2015,January,20,Tuesday,2,Outside,83,Dufferin Grove (83),-79.4363537591509,43.6518072202079,2015-01-20 02:00:00
robbery,2015,January,21,Wednesday,22,Outside,6,Kingsview Village-The Westway (6),-79.5486724115976,43.7013181009717,2015-01-21 22:00:00
robbery,2015,January,21,Wednesday,9,Other,124,Kennedy Park (124),-79.2660079365739,43.7276099940839,2015-01-21 09:00:00
robbery,2015,January,21,Wednesday,23,Commercial,11,Eringate-Centennial-West Deane (11),-79.572548054276,43.6530211846218,2015-01-21 23:00:00
robbery,2015,January,21,Wednesday,22,Commercial,5,Elms-Old Rexdale (5),-79.5505613321606,43.7250906942846,2015-01-21 22:00:00
robbery,2015,January,21,Wednesday,21,Outside,2,Mount Olive-Silverstone-Jamestown (2),-79.5879379398211,43.7533787860059,2015-01-21 21:00:00
robbery,2015,January,21,Wednesday,20,Apartment,136,West Hill (136),-79.1948904245231,43.7664897329517,2015-01-21 20:00:00
robbery,2015,January,21,Wednesday,9,Other,124,Kennedy Park (124),-79.2660079365739,43.7276099940839,2015-01-21 09:00:00
